case_id,int_mode,prepost_status,sample_type,trans_id,trans_contact,trans_therm,trans_military,trans_bathroom,trans_sports_pre,trans_sports_post,trans_sports_prepost,trans_discrim,gay_id,gay_contact,gay_therm,gay_adoption,gay_marriage,gay_elect,gay_discrim,resp_partyid,resp_race,resp_age,resp_edu,weight,psu,stratum,sample_mode
140001,2,2,1,2.0,1.0,60.0,4.0,7.0,1.0,,1.0,4.0,1.0,1.0,85.0,6.0,,3.0,1.0,7.0,3.0,50.0,13.0,0.710864874498513,2.0,93.0,panel_ftf_web_papi
140002,2,2,1,2.0,2.0,50.0,4.0,4.0,3.0,,3.0,4.0,1.0,1.0,50.0,1.0,,3.0,1.0,4.0,4.0,41.0,10.0,2.38378558802356,2.0,110.0,panel_ftf_web_papi
140003,2,2,1,2.0,1.0,100.0,1.0,1.0,7.0,,7.0,1.0,1.0,1.0,100.0,1.0,1.0,2.0,1.0,1.0,1.0,44.0,10.0,0.808992408255851,1.0,125.0,panel_ftf_web_papi
140004,2,2,1,2.0,2.0,50.0,4.0,2.0,7.0,,7.0,3.0,1.0,2.0,40.0,2.0,,4.0,1.0,6.0,4.0,45.0,11.0,0.291739965421631,2.0,113.0,panel_ftf_web_papi
140005,2,2,1,2.0,2.0,0.0,7.0,7.0,1.0,,1.0,5.0,1.0,2.0,0.0,5.0,,5.0,2.0,5.0,1.0,80.0,16.0,0.222012175174604,1.0,107.0,panel_ftf_web_papi
140006,2,2,1,2.0,2.0,70.0,4.0,4.0,4.0,,4.0,2.0,1.0,2.0,70.0,2.0,,4.0,1.0,3.0,1.0,75.0,10.0,0.472275406210762,2.0,121.0,panel_ftf_web_papi
140007,2,2,1,2.0,2.0,50.0,7.0,4.0,4.0,,4.0,,1.0,1.0,60.0,1.0,1.0,3.0,2.0,4.0,1.0,41.0,11.0,0.300330877912564,1.0,91.0,panel_ftf_web_papi
140008,2,2,1,2.0,2.0,50.0,4.0,4.0,4.0,,4.0,5.0,1.0,2.0,50.0,2.0,4.0,5.0,2.0,6.0,1.0,49.0,10.0,0.629183208887194,2.0,121.0,panel_ftf_web_papi
140010,2,2,1,2.0,1.0,0.0,4.0,7.0,1.0,,1.0,3.0,1.0,1.0,50.0,2.0,2.0,5.0,2.0,3.0,3.0,45.0,9.0,2.3632650545815,2.0,125.0,panel_ftf_web_papi
140011,2,2,1,2.0,2.0,50.0,6.0,6.0,6.0,,6.0,3.0,1.0,2.0,50.0,2.0,6.0,3.0,1.0,1.0,3.0,41.0,9.0,1.20543235144655,1.0,106.0,panel_ftf_web_papi
